teacher,period,start_date,sub_date,raw_score,percent,num_att,last_att,daps5,decm6,exps4,fnct5,frac6,geom8,intg4,linr7,id
"Thomas, Alice",5,2022-08-15,2022-08-24,10,22,33,45,1,2,2,1,2,1,1,0,0516
"Thomas, Alice",5,2022-08-15,2022-08-24,10,22,45,45,0,1,0,2,0,4,1,2,0993
"Sans, Rosie",6,2022-08-15,2022-08-25,10,22,45,45,1,2,3,2,1,1,0,0,2833
"Thomas, Alice",5,2022-08-15,2022-08-24,10,22,45,45,2,2,0,2,2,1,0,1,1071
"Gray, Stephanie",2,2022-08-15,2022-08-25,10,22,42,45,0,1,0,2,2,2,1,2,0707
"Jillian, Richie",6,2022-08-15,2022-08-25,10,22,20,20,2,0,0,1,2,3,1,1,0211
"Thomas, Alice",6,2022-08-15,2022-08-25,9,20,21,32,3,0,1,0,0,3,1,1,1460
"Thomas, Alice",5,2022-08-15,2022-08-24,9,20,28,45,1,0,1,1,2,2,1,1,0903
"Thomas, Alice",6,2022-08-15,2022-08-25,9,20,18,18,2,0,2,2,0,1,1,1,0951
"Thomas, Alice",3,2022-08-15,2022-08-24,9,20,45,45,0,1,1,2,1,3,0,1,0610
"Gray, Stephanie",1,2022-08-15,2022-08-24,9,20,38,45,1,1,0,0,1,3,1,2,1002
"Sans, Rosie",6,2022-08-15,2022-08-25,9,20,45,45,3,1,0,0,0,2,1,2,1046
"Thomas, Alice",4,2022-08-15,2022-08-25,9,20,45,45,0,1,1,1,1,2,1,2,0609
"Daniel, Tony",5,2022-08-15,2022-08-24,9,20,14,18,0,0,2,2,1,2,1,1,5049
"Daniel, Tony",3,2022-08-15,2022-08-24,9,20,42,45,1,0,0,1,1,2,2,2,1290
"Sans, Rosie",6,2022-08-15,2022-08-25,9,20,45,45,0,3,1,1,1,1,2,0,1176
"Thomas, Alice",6,2022-08-15,2022-08-25,9,20,45,45,0,0,1,2,2,2,1,1,1970
"Thomas, Alice",4,2022-08-15,2022-08-25,9,20,45,45,1,0,1,1,2,2,1,1,1043
"Daniel, Tony",5,2022-08-15,2022-08-24,9,20,16,27,2,0,1,0,1,3,1,1,3403
"Sans, Rosie",1,2022-08-15,2022-08-24,9,20,45,45,1,3,1,0,0,2,1,1,1595
"Sans, Rosie",6,2022-08-15,2022-08-25,9,20,11,11,2,0,1,0,1,2,3,0,3116
"Thomas, Alice",2,2022-08-15,2022-08-25,8,18,16,16,1,0,1,1,0,3,1,1,0956
"Sans, Rosie",3,2022-08-15,2022-08-24,8,18,45,45,0,1,0,2,0,3,0,2,3689
"Thomas, Alice",4,2022-08-15,2022-08-25,8,18,45,45,0,0,1,2,1,0,1,3,2056
"Jonas, Beau",4,2022-08-15,2022-08-30,8,18,25,25,0,2,0,1,1,2,1,1,0990
"Sans, Rosie",6,2022-08-15,2022-08-25,8,18,26,27,1,0,0,0,2,2,2,1,1225
"Sans, Rosie",1,2022-08-15,2022-08-24,8,18,9,10,1,0,1,0,1,2,2,1,1094
"Sans, Rosie",6,2022-08-15,2022-08-25,8,18,12,12,1,0,1,0,2,2,2,0,0887
"Jillian, Richie",6,2022-08-15,2022-08-25,8,18,17,45,0,0,3,0,0,2,2,1,4962
"Thomas, Alice",6,2022-08-15,2022-08-25,8,18,30,45,2,0,0,1,0,3,1,1,2615
"Thomas, Alice",3,2022-08-15,2022-08-24,8,18,45,45,1,0,1,2,1,2,0,1,0999
"Jonas, Beau",3,2022-08-15,2022-09-02,8,18,20,34,0,1,1,1,1,2,0,2,1920
"Jillian, Richie",6,2022-08-15,2022-08-25,8,18,32,32,1,0,1,1,2,0,1,2,5218
"Sans, Rosie",3,2022-08-15,2022-08-24,8,18,45,45,1,0,1,1,1,3,1,0,3171
"Thomas, Alice",2,2022-08-15,2022-08-25,7,16,39,45,2,1,0,0,1,2,0,1,3094
"Jonas, Beau",3,2022-08-15,2022-08-30,7,16,37,37,2,0,0,1,0,3,0,1,1115
"Daniel, Tony",3,2022-08-15,2022-08-24,7,16,34,34,0,1,0,2,1,1,0,2,4147
"Daniel, Tony",3,2022-08-15,2022-08-24,7,16,18,44,2,1,1,0,3,0,0,0,5001
"Sans, Rosie",3,2022-08-15,2022-08-24,7,16,45,45,1,0,0,1,0,2,1,2,0731
"Thomas, Alice",6,2022-08-15,2022-08-25,7,16,45,45,0,0,2,1,0,3,0,1,0512
"Thomas, Alice",6,2022-08-15,2022-08-25,5,11,19,21,2,0,1,0,0,2,0,0,1114
"Jonas, Beau",3,2022-08-15,2022-09-02,5,11,15,15,0,0,1,1,0,0,2,1,2473
"Thomas, Alice",3,2022-08-15,2022-08-24,44,98,45,45,5,6,4,5,6,7,4,7,4908
"Jonas, Beau",4,2022-08-15,2022-08-30,44,98,45,45,5,6,3,5,6,8,4,7,3149
"Jonas, Beau",3,2022-08-15,2022-08-30,41,91,45,45,5,6,3,4,5,7,4,7,1089
"Sans, Rosie",6,2022-08-15,2022-08-25,41,91,45,45,5,5,3,3,6,8,4,7,1979
"Gray, Stephanie",2,2022-08-15,2022-08-25,39,87,44,45,5,6,3,4,5,7,4,5,1011
"Sans, Rosie",2,2022-08-15,2022-08-25,39,87,45,45,5,6,3,3,6,6,4,6,0966
"Thomas, Alice",6,2022-08-15,2022-08-25,5,11,14,14,1,0,1,0,1,0,2,0,4741
"Thomas, Alice",6,2022-08-15,2022-08-25,5,11,15,19,0,1,1,1,1,0,0,1,1093
"Daniel, Tony",5,2022-08-15,2022-08-24,4,9,12,14,1,0,0,0,1,1,0,1,2576
"Jillian, Richie",5,2022-08-15,2022-08-24,4,9,21,44,0,0,0,1,2,1,0,0,1086
"Jonas, Beau",3,2022-08-15,2022-08-30,4,9,9,9,0,0,0,0,1,2,0,1,5002
"Daniel, Tony",3,2022-08-15,2022-08-24,4,9,24,27,1,0,0,1,1,1,0,0,4999
"Daniel, Tony",5,2022-08-15,2022-08-24,4,9,11,11,0,0,0,0,2,2,0,0,2419
"Daniel, Tony",5,2022-08-15,2022-08-24,3,7,8,14,0,0,0,0,1,1,0,1,0987
"Daniel, Tony",5,2022-08-15,2022-08-24,3,7,13,16,1,0,0,0,0,1,1,0,1180
"Sans, Rosie",1,2022-08-15,2022-08-24,2,4,7,9,0,0,0,0,0,1,1,0,1154
"Daniel, Tony",3,2022-08-15,2022-08-24,2,4,8,8,1,0,0,0,1,0,0,0,5002
"Jonas, Beau",3,2022-08-15,2022-09-02,2,4,10,10,0,0,0,0,0,1,1,0,0179
"Daniel, Tony",5,2022-08-15,2022-08-24,1,2,13,13,0,0,0,0,0,1,0,0,1073
"Jonas, Beau",4,2022-08-15,2022-08-30,1,2,1,1,0,0,1,0,0,0,0,0,1906
"Sans, Rosie",2,2022-08-15,2022-08-25,1,2,16,16,0,0,0,0,0,1,0,0,1058
"Daniel, Tony",3,2022-08-15,2022-08-24,0,0,0,0,0,0,0,0,0,0,0,0,5009
"Daniel, Tony",5,2022-08-15,2022-08-24,7,16,9,15,0,0,1,1,1,2,2,0,4195
"Daniel, Tony",5,2022-08-15,2022-08-24,7,16,13,13,1,1,1,0,0,2,2,0,0588
"Jonas, Beau",3,2022-08-15,2022-08-30,7,16,45,45,1,2,2,0,0,0,0,2,1089
"Gray, Stephanie",2,2022-08-15,2022-08-25,7,16,30,43,0,1,0,2,1,2,1,0,0958
"Daniel, Tony",3,2022-08-15,2022-08-24,6,13,45,45,0,1,1,1,1,1,1,0,4765
"Daniel, Tony",3,2022-08-15,2022-08-24,6,13,19,37,1,1,0,1,1,1,0,1,5018
"Thomas, Alice",6,2022-08-15,2022-08-25,6,13,27,29,1,2,0,0,0,2,1,0,2329
"Daniel, Tony",3,2022-08-15,2022-08-24,6,13,16,16,1,0,0,1,1,1,2,0,5011
"Jillian, Richie",5,2022-08-15,2022-08-24,6,13,11,28,2,1,0,0,1,1,1,0,1638
"Daniel, Tony",5,2022-08-15,2022-08-24,6,13,14,14,2,0,0,0,2,2,0,0,2129
"Thomas, Alice",6,2022-08-15,2022-08-25,6,13,31,45,1,0,2,0,0,2,1,0,2156
"Sans, Rosie",2,2022-08-15,2022-08-25,6,13,45,45,0,0,0,0,0,1,2,3,1985
"Daniel, Tony",3,2022-08-15,2022-08-24,5,11,16,19,2,0,1,0,0,1,1,0,5019
"Sans, Rosie",5,2022-08-15,2022-08-24,10,22,45,45,0,2,2,2,2,1,0,1,1006
"Thomas, Alice",3,2022-08-15,2022-08-24,39,87,45,45,4,5,3,5,5,8,3,6,1802
"Jillian, Richie",6,2022-08-15,2022-08-25,38,84,45,45,4,5,4,4,5,7,4,5,0932
"Thomas, Alice",2,2022-08-15,2022-08-25,38,84,45,45,5,6,3,4,5,5,3,7,1094
"Sans, Rosie",3,2022-08-15,2022-08-24,38,84,45,45,4,3,4,5,6,7,4,5,2447
"Jonas, Beau",3,2022-08-15,2022-08-30,38,84,45,45,5,6,2,4,6,7,4,4,0146
"Jillian, Richie",6,2022-08-15,2022-08-25,37,82,45,45,5,5,3,2,5,6,4,7,1159
"Jillian, Richie",5,2022-08-15,2022-08-24,37,82,45,45,4,5,4,2,6,7,4,5,0966
"Sans, Rosie",3,2022-08-15,2022-08-24,37,82,45,45,5,5,3,4,4,7,4,5,0966
"Thomas, Alice",5,2022-08-15,2022-08-24,37,82,45,45,4,6,3,4,5,6,4,5,0960
"Gray, Stephanie",1,2022-08-15,2022-08-24,37,82,45,45,4,5,2,4,6,7,3,6,1098
"Jonas, Beau",3,2022-08-15,2022-09-02,37,82,43,45,5,5,4,3,6,5,4,5,1964
"Gray, Stephanie",2,2022-08-15,2022-08-25,37,82,44,45,5,4,4,4,6,5,4,5,2806
"Gray, Stephanie",2,2022-08-15,2022-08-25,36,80,45,45,3,5,3,4,6,7,3,5,4287
"Daniel, Tony",5,2022-08-15,2022-08-24,36,80,45,45,4,4,3,5,5,6,4,5,1095
"Sans, Rosie",3,2022-08-15,2022-08-24,36,80,45,45,4,5,3,4,6,5,3,6,1156
"Jonas, Beau",3,2022-08-15,2022-09-02,36,80,45,45,3,6,4,4,4,7,4,4,1131
"Jonas, Beau",3,2022-08-15,2022-09-02,43,96,45,45,5,6,4,5,6,6,4,7,1072
"Thomas, Alice",6,2022-08-15,2022-08-25,36,80,42,44,5,6,4,2,5,4,4,6,1889
"Sans, Rosie",1,2022-08-15,2022-08-24,36,80,45,45,3,5,4,3,6,5,4,6,1105
"Thomas, Alice",2,2022-08-15,2022-08-25,14,31,36,45,3,1,1,3,1,4,0,1,0966
"Jonas, Beau",4,2022-08-15,2022-09-02,5,11,18,18,0,0,2,1,0,0,2,0,2548
